page,file,illustration_1,illustration_2,punch,path
1,page_001.png,1,2,первый прокол,
2,page_002.png,3,4,первый прокол,
3,page_003.png,5,6,первый прокол,
4,page_004.png,7,8,первый прокол,
5,page_005.png,9,10,первый прокол,
6,page_006.png,11,12,первый прокол,
7,page_007.png,13,14,первый прокол,
8,page_008.png,15,16,первый прокол,
9,page_009.png,17,18,первый прокол,
10,page_010.png,19,20,первый прокол,
11,page_011.png,21,22,первый прокол,
12,page_012.png,23,24,первый прокол,
13,page_013.png,25,26,первый прокол,
14,page_014.png,27,28,первый прокол,
15,page_015.png,29,30,первый прокол,
16,page_016.png,31,32,первый прокол,
17,page_017.png,33,34,первый прокол,
18,page_018.png,35,36,первый прокол,
19,page_019.png,37,38,первый прокол,
20,page_020.png,39,40,первый прокол,
21,page_021.png,41,42,первый прокол,
22,page_022.png,43,44,первый прокол,
23,page_023.png,45,46,первый прокол,
24,page_024.png,47,48,первый прокол,
25,page_025.png,49,50,первый прокол,
26,page_026.png,51,52,первый прокол,
27,page_027.png,53,54,первый прокол,
28,page_028.png,55,56,первый прокол,
29,page_029.png,57,58,первый прокол,
30,page_030.png,59,60,первый прокол,
31,page_031.png,61,62,первый прокол,
32,page_032.png,63,64,первый прокол,
33,page_033.png,65,66,первый прокол,
34,page_034.png,67,68,первый прокол,
35,page_035.png,69,70,первый прокол,
36,page_036.png,71,72,первый прокол,
37,page_037.png,73,74,первый прокол,
38,page_038.png,75,76,первый прокол,
39,page_039.png,77,78,первый прокол,
40,page_040.png,79,80,третий прокол,
41,page_041.png,81,82,третий прокол,
42,page_042.png,83,84,третий прокол,
43,page_043.png,85,86,третий прокол,
44,page_044.png,87,88,третий прокол,
45,page_045.png,89,90,третий прокол,
46,page_046.png,91,92,третий прокол,
47,page_047.png,93,94,третий прокол,
48,page_048.png,95,96,третий прокол,
49,page_049.png,97,98,третий прокол,
50,page_050.png,99,100,третий прокол,
51,page_051.png,101,102,третий прокол,
52,page_052.png,103,104,третий прокол,
53,page_053.png,105,106,третий прокол,
54,page_054.png,107,108,третий прокол,
55,page_055.png,109,110,третий прокол,
56,page_056.png,111,112,третий прокол,
57,page_057.png,113,114,третий прокол,
58,page_058.png,115,116,третий прокол,
59,page_059.png,117,118,третий прокол,
60,page_060.png,119,120,третий прокол,
61,page_061.png,121,122,третий прокол,
62,page_062.png,123,124,третий прокол,
63,page_063.png,125,126,третий прокол,
64,page_064.png,127,128,третий прокол,
65,page_065.png,129,130,третий прокол,
66,page_066.png,131,132,третий прокол,
67,page_067.png,133,134,третий прокол,
68,page_068.png,135,136,третий прокол,
69,page_069.png,137,138,третий прокол,
70,page_070.png,139,140,третий прокол,
71,page_071.png,141,142,третий прокол,
72,page_072.png,143,144,третий прокол,
73,page_073.png,145,146,третий прокол,
74,page_074.png,147,148,третий прокол,
75,page_075.png,149,150,третий прокол,
76,page_076.png,151,152,третий прокол,
77,page_077.png,153,154,третий прокол,
78,page_078.png,155,156,третий прокол,
